JourneyID,CustomerID,ProductID,VisitDate,Stage,Action,Duration
3003,19,16,1/1/2022,ProductPage,View,293
1267,23,9,1/1/2022,ProductPage,View,145
3419,25,3,1/1/2022,Homepage,Click,260
2856,40,1,1/1/2022,Homepage,Click,250
1600,26,3,1/2/2022,Homepage,Click,139
1423,65,16,1/2/2022,Homepage,Click,95
3396,81,9,1/2/2022,ProductPage,Click,93
1678,92,4,1/2/2022,Homepage,View,277
3885,96,3,1/2/2022,Checkout,Drop-off,151
383,55,6,1/3/2022,productpage,View,72
1828,59,5,1/3/2022,Homepage,View,172
3210,61,7,1/3/2022,Homepage,View,193
3618,67,14,1/3/2022,ProductPage,View,246
3117,40,16,1/4/2022,Homepage,Click,183
1682,58,8,1/4/2022,Checkout,Drop-off,183
216,33,6,1/5/2022,Checkout,Drop-off,177.25
2282,69,2,1/5/2022,Homepage,View,55
1651,82,1,1/5/2022,Homepage,Click,95
838,82,13,1/5/2022,ProductPage,Click,267
2906,91,1,1/5/2022,Homepage,View,292
3687,43,16,1/6/2022,ProductPage,View,23
3170,49,3,1/6/2022,Checkout,Purchase,227
3289,50,9,1/6/2022,ProductPage,Click,203
1420,89,13,1/6/2022,Checkout,Purchase,245
2593,13,16,1/7/2022,ProductPage,View,184
253,71,11,1/7/2022,Homepage,Click,279
3478,93,10,1/7/2022,Homepage,Click,168
3080,3,1,1/8/2022,homepage,View,66
2384,11,7,1/8/2022,ProductPage,Click,17
1378,17,18,1/8/2022,Checkout,Drop-off,36.33
3807,53,4,1/8/2022,Homepage,View,26
2743,41,1,1/9/2022,Checkout,Purchase,201
2027,91,4,1/9/2022,Checkout,Drop-off,201
214,33,9,1/10/2022,productpage,View,200
2678,60,5,1/10/2022,Homepage,Click,222
2380,12,9,1/11/2022,Checkout,Purchase,123
2832,40,1,1/11/2022,Homepage,View,103
2230,74,3,1/11/2022,Checkout,Purchase,219
2741,100,19,1/11/2022,Checkout,Purchase,185
585,2,9,1/12/2022,Homepage,View,250
2252,3,7,1/12/2022,Homepage,View,64
2728,15,4,1/12/2022,Homepage,Click,239
1670,66,7,1/12/2022,Homepage,Click,42
2710,95,11,1/12/2022,ProductPage,Click,87
1057,96,13,1/12/2022,Homepage,Click,187
