EngagementID,ContentID,CampaignID,ProductId,EngagementDate,ContentType,Views,Clicks,Likes
3207,47,19,15,1/1/2022,VIDEO,8791,3105,648
3977,50,8,2,1/1/2022,SOCIAL MEDIA,1039,351,159
4058,40,15,10,1/1/2022,BLOG,9429,3475,1212
696,14,4,11,1/3/2022,VIDEO,4053,1261,143
402,2,14,5,1/4/2022,VIDEO,9328,4574,950
203,13,1,18,1/4/2022,SOCIAL MEDIA,4496,1368,306
4171,36,18,13,1/4/2022,VIDEO,6636,3146,367
4044,24,7,5,1/4/2022,SOCIAL MEDIA,4354,1376,680
3306,8,8,4,1/4/2022,SOCIAL MEDIA,7688,2076,567
3317,21,14,20,1/5/2022,BLOG,5060,576,191
3770,1,18,17,1/5/2022,BLOG,7155,2087,1021
4574,24,14,9,1/5/2022,VIDEO,5953,2291,1028
72,19,17,1,1/6/2022,BLOG,6991,2499,657
2729,15,10,15,1/6/2022,VIDEO,4004,756,95
2893,19,8,3,1/7/2022,BLOG,7643,3344,1293
2344,21,12,4,1/7/2022,BLOG,4209,475,64
1650,12,15,6,1/7/2022,BLOG,6491,1349,567
2092,39,12,10,1/7/2022,VIDEO,3022,1497,444
4219,16,5,19,1/7/2022,VIDEO,4347,1144,269
2979,49,17,10,1/8/2022,BLOG,3874,1018,204
2727,15,14,13,1/8/2022,BLOG,659,269,90
163,9,16,5,1/8/2022,VIDEO,4613,1553,233
520,16,9,4,1/8/2022,SOCIAL MEDIA,7251,3048,1405
388,31,6,3,1/9/2022,SOCIAL MEDIA,5684,1754,533
1191,33,4,18,1/9/2022,VIDEO,8295,3174,1395
2944,30,8,10,1/9/2022,VIDEO,5853,2672,1054
2543,8,10,2,1/9/2022,BLOG,9032,1108,531
3067,29,7,14,1/9/2022,BLOG,7475,1172,126
3153,21,14,19,1/10/2022,VIDEO,3224,924,204
1321,16,1,11,1/10/2022,BLOG,5522,758,251
1063,6,12,6,1/10/2022,BLOG,4761,1039,260
1411,20,4,15,1/11/2022,SOCIAL MEDIA,8348,1133,454
706,30,13,11,1/11/2022,BLOG,8960,2078,308
674,29,15,10,1/11/2022,SOCIAL MEDIA,5429,2104,774
2600,49,17,9,1/11/2022,BLOG,7360,1951,450
2134,23,19,12,1/11/2022,SOCIAL MEDIA,5173,1033,283
4458,22,10,5,1/11/2022,VIDEO,7823,2052,484
2485,12,18,1,1/14/2022,VIDEO,3087,748,158
1136,41,6,20,1/14/2022,VIDEO,1022,265,120
1265,40,12,15,1/15/2022,BLOG,4315,516,133
2304,6,7,6,1/15/2022,BLOG,3446,1161,147
1472,46,3,12,1/15/2022,SOCIAL MEDIA,5369,2089,608
1592,15,6,20,1/16/2022,BLOG,6811,3230,1155
1451,16,14,19,1/16/2022,VIDEO,5115,2329,1052
1020,11,7,4,1/16/2022,VIDEO,2645,960,353
3533,13,7,4,1/16/2022,BLOG,876,233,54
2054,37,14,17,1/17/2022,VIDEO,3560,1267,430
1596,34,8,9,1/18/2022,VIDEO,2764,1031,263
3009,44,15,20,1/18/2022,VIDEO,2352,806,155
4069,44,17,14,1/19/2022,VIDEO,2646,269,111
4530,41,14,2,1/19/2022,SOCIAL MEDIA,5571,777,285
2810,17,4,18,1/19/2022,SOCIAL MEDIA,184,75,30
2055,34,17,8,1/20/2022,BLOG,6236,2447,855
4432,15,13,12,1/20/2022,SOCIAL MEDIA,4634,1614,609
4323,41,4,1,1/21/2022,VIDEO,3974,1146,212
4029,32,3,2,1/21/2022,VIDEO,2223,658,289
3362,41,7,1,1/21/2022,VIDEO,5323,2137,718
3975,8,9,14,1/22/2022,SOCIAL MEDIA,7982,1869,318
3856,15,19,12,1/22/2022,BLOG,9550,1176,252
2463,8,19,4,1/22/2022,SOCIAL MEDIA,4036,810,287
1045,46,14,18,1/22/2022,VIDEO,6813,2875,1131
1742,36,1,20,1/23/2022,VIDEO,508,139,64
4119,30,18,6,1/23/2022,SOCIAL MEDIA,3530,738,316
4221,25,10,12,1/23/2022,SOCIAL MEDIA,294,63,28
1476,13,17,12,1/24/2022,VIDEO,5869,1582,583
846,38,2,17,1/24/2022,SOCIAL MEDIA,8643,2912,1061
37,32,7,1,1/24/2022,VIDEO,9759,3095,400
500,48,18,13,1/25/2022,SOCIAL MEDIA,3819,958,194
1138,2,10,5,1/25/2022,BLOG,1286,214,71
3450,30,14,5,1/25/2022,SOCIAL MEDIA,6758,2709,920
3648,19,20,13,1/25/2022,BLOG,9478,4247,1760
3049,11,8,4,1/25/2022,BLOG,2639,1129,125
3294,21,11,7,1/25/2022,VIDEO,3712,719,349
333,50,4,6,1/26/2022,VIDEO,5670,734,110
229,18,17,12,1/27/2022,VIDEO,2361,746,291
2471,20,13,5,1/27/2022,VIDEO,2380,1009,360
3374,36,1,16,1/27/2022,VIDEO,829,251,122
4250,40,3,13,1/27/2022,VIDEO,5061,1573,735
4361,19,3,4,1/28/2022,VIDEO,2241,602,238
3748,4,5,8,1/28/2022,BLOG,7840,2727,1221
2919,45,9,10,1/28/2022,BLOG,5305,1982,796
1853,47,5,13,1/28/2022,VIDEO,7901,1266,227
691,40,18,9,1/28/2022,BLOG,5123,2062,694
565,20,13,16,1/29/2022,VIDEO,7683,2806,680
2104,4,3,9,1/29/2022,BLOG,4839,628,163
2109,21,13,15,1/29/2022,SOCIAL MEDIA,2596,775,108
1598,14,7,19,1/29/2022,SOCIAL MEDIA,5780,1606,174
2894,30,13,5,1/30/2022,SOCIAL MEDIA,9692,2499,1178
2492,24,11,10,1/30/2022,BLOG,6240,2147,678
557,13,17,5,1/30/2022,VIDEO,4281,706,241
217,10,4,12,1/30/2022,VIDEO,6297,1624,279
268,23,3,12,1/30/2022,SOCIAL MEDIA,5367,1627,235
3578,32,12,19,1/30/2022,BLOG,5403,1419,502
3112,22,7,15,1/30/2022,BLOG,3432,831,159
3640,38,14,9,1/31/2022,VIDEO,372,87,13
3479,30,9,9,1/31/2022,VIDEO,4777,2084,294
3754,50,13,5,1/31/2022,SOCIAL MEDIA,2746,577,112
2423,20,18,16,1/31/2022,SOCIAL MEDIA,2663,1288,312
1473,49,10,5,1/31/2022,SOCIAL MEDIA,5260,914,243
1840,32,12,3,1/31/2022,BLOG,9107,1947,774
198,4,8,12,2/1/2022,VIDEO,2336,1076,117
149,26,7,4,2/1/2022,SOCIAL MEDIA,6616,805,389
1422,4,2,1,2/1/2022,VIDEO,9399,4238,1977
934,37,17,3,2/1/2022,BLOG,5428,1692,595
893,36,9,7,2/2/2022,BLOG,8283,892,329
1189,32,4,15,2/2/2022,BLOG,9570,1373,198
1850,47,9,13,2/2/2022,VIDEO,7877,2784,997
1644,14,15,15,2/2/2022,SOCIAL MEDIA,9091,3366,511
2796,35,17,2,2/2/2022,VIDEO,6356,1160,547
2830,45,2,18,2/2/2022,VIDEO,9196,3663,941
3886,46,17,13,2/2/2022,VIDEO,187,79,34
4143,48,8,1,2/2/2022,BLOG,3208,1097,430
3259,11,4,15,2/2/2022,BLOG,5965,2662,994
3000,11,4,3,2/3/2022,BLOG,7755,2890,1098
3722,8,9,18,2/3/2022,SOCIAL MEDIA,3770,880,247
1816,1,19,13,2/3/2022,SOCIAL MEDIA,1722,811,147
1001,42,2,17,2/3/2022,BLOG,1590,437,52
4168,46,8,17,2/4/2022,VIDEO,7891,791,205
3117,11,12,17,2/4/2022,SOCIAL MEDIA,6993,2606,813
828,12,14,11,2/5/2022,VIDEO,3950,1667,618
1457,35,15,17,2/5/2022,VIDEO,4168,905,283
2156,17,19,15,2/5/2022,BLOG,9673,1081,278
2773,6,14,10,2/5/2022,BLOG,7100,1370,659
2052,44,19,9,2/7/2022,SOCIAL MEDIA,3082,348,112
1291,4,13,20,2/7/2022,VIDEO,6240,1012,146
1081,25,15,5,2/8/2022,VIDEO,4970,869,371
113,49,17,14,2/8/2022,VIDEO,898,184,31
3162,18,8,9,2/8/2022,BLOG,168,24,4
4393,42,15,7,2/8/2022,SOCIAL MEDIA,8375,2526,1021
3763,12,13,9,2/8/2022,VIDEO,9582,1101,323
4032,38,6,1,2/8/2022,SOCIAL MEDIA,3907,1506,199
4184,34,13,16,2/9/2022,BLOG,8159,2326,948
4232,35,18,14,2/9/2022,BLOG,3661,911,402
121,5,17,7,2/9/2022,VIDEO,8641,3301,1071
395,26,3,1,2/9/2022,VIDEO,4746,2012,681
1261,39,16,19,2/9/2022,BLOG,7167,3327,1314
2685,19,19,8,2/10/2022,SOCIAL MEDIA,7895,1046,404
2901,26,12,13,2/11/2022,SOCIAL MEDIA,4704,1076,110
4495,46,10,11,2/11/2022,VIDEO,6480,1647,411
815,2,12,19,2/12/2022,VIDEO,7679,2681,627
1524,36,18,20,2/13/2022,SOCIAL MEDIA,5734,1326,430
3830,42,7,1,2/13/2022,BLOG,2489,518,231
3437,2,4,4,2/13/2022,SOCIAL MEDIA,574,217,78
3303,22,11,20,2/14/2022,VIDEO,102,30,9
1715,12,11,15,2/14/2022,BLOG,9195,3901,1151
937,27,8,16,2/14/2022,SOCIAL MEDIA,8400,1142,373
274,20,12,2,2/14/2022,VIDEO,5486,1725,820
296,37,14,13,2/15/2022,SOCIAL MEDIA,3196,1111,169
245,39,10,7,2/15/2022,VIDEO,9002,2059,339
3658,15,8,20,2/15/2022,VIDEO,3732,1453,279
3026,47,11,10,2/16/2022,SOCIAL MEDIA,3152,307,50
984,35,5,3,2/16/2022,BLOG,611,81,28
1364,8,6,15,2/16/2022,VIDEO,3483,1576,401
2115,50,7,11,2/16/2022,VIDEO,6972,2070,246
1855,9,6,6,2/17/2022,BLOG,1746,523,129
1692,10,6,15,2/17/2022,SOCIAL MEDIA,3662,918,119
2522,20,1,16,2/17/2022,SOCIAL MEDIA,6279,2064,863
1015,36,14,9,2/17/2022,SOCIAL MEDIA,2396,578,225
3786,17,3,19,2/17/2022,BLOG,1023,218,71
4449,41,15,2,2/17/2022,VIDEO,3149,848,275
3740,35,17,6,2/18/2022,VIDEO,8379,1159,482
3689,7,5,17,2/18/2022,BLOG,5867,1654,423
1135,19,11,18,2/18/2022,SOCIAL MEDIA,7362,3069,1221
94,33,15,17,2/18/2022,VIDEO,2595,933,389
2845,31,7,5,2/18/2022,SOCIAL MEDIA,8015,3408,680
93,23,1,17,2/19/2022,SOCIAL MEDIA,2989,1283,147
4453,41,16,17,2/19/2022,BLOG,6832,2319,849
4569,48,17,9,2/19/2022,BLOG,7405,1416,341
4588,41,20,19,2/20/2022,BLOG,7341,3079,1165
3563,3,17,9,2/20/2022,BLOG,8611,3582,1526
369,6,15,11,2/20/2022,SOCIAL MEDIA,1289,449,180
648,21,18,14,2/20/2022,BLOG,5831,2028,505
1174,11,3,5,2/20/2022,SOCIAL MEDIA,5312,1684,480
1197,25,5,9,2/20/2022,VIDEO,8445,2783,1240
2513,6,20,14,2/20/2022,BLOG,6599,2651,950
2548,37,6,7,2/20/2022,VIDEO,2700,663,117
631,22,17,18,2/21/2022,VIDEO,8207,923,396
3529,40,10,20,2/21/2022,VIDEO,4743,1140,439
672,28,20,9,2/22/2022,SOCIAL MEDIA,7705,2908,685
1326,44,11,8,2/22/2022,BLOG,7168,1026,289
1373,32,20,3,2/22/2022,SOCIAL MEDIA,211,64,8
1514,38,15,15,2/22/2022,BLOG,4938,1467,230
2405,5,13,12,2/23/2022,SOCIAL MEDIA,1055,398,155
2723,14,1,15,2/23/2022,BLOG,1517,174,68
1159,15,12,13,2/23/2022,SOCIAL MEDIA,1708,282,38
364,3,6,20,2/24/2022,BLOG,7805,3328,1284
3508,47,8,19,2/24/2022,VIDEO,2020,812,238
3736,23,20,12,2/24/2022,VIDEO,9393,3843,1530
3792,17,7,3,2/25/2022,SOCIAL MEDIA,7378,3370,1534
4254,2,10,15,2/25/2022,SOCIAL MEDIA,7727,784,196
4292,27,12,3,2/25/2022,BLOG,588,119,53
3121,10,9,13,2/25/2022,VIDEO,3592,1027,449
4437,46,16,19,2/25/2022,SOCIAL MEDIA,8918,3360,410
739,39,12,1,2/25/2022,SOCIAL MEDIA,3533,1370,476
2920,44,2,14,2/25/2022,SOCIAL MEDIA,6110,2113,903
2888,17,1,17,2/26/2022,VIDEO,5458,2431,333
2390,35,6,11,2/26/2022,SOCIAL MEDIA,8365,1763,584
2445,13,15,16,2/26/2022,VIDEO,4084,1741,748
2080,36,1,20,2/26/2022,BLOG,4610,1023,282
1072,7,18,8,2/26/2022,BLOG,4927,1761,383
3641,38,10,19,2/26/2022,VIDEO,5987,1858,404
4360,23,15,7,2/26/2022,VIDEO,6271,670,183
3924,23,5,1,2/27/2022,SOCIAL MEDIA,6712,1584,729
633,16,11,5,2/27/2022,BLOG,7169,2337,1069
419,39,7,10,2/28/2022,SOCIAL MEDIA,2803,978,409
4272,41,4,19,2/28/2022,BLOG,4426,745,167
4103,37,19,12,2/28/2022,VIDEO,7160,1264,331
250,9,17,15,3/1/2022,VIDEO,3931,1744,708
819,23,14,18,3/1/2022,VIDEO,5386,732,200
782,26,20,4,3/1/2022,SOCIAL MEDIA,5130,663,307
1836,28,17,20,3/1/2022,SOCIAL MEDIA,3803,499,164
2718,40,18,13,3/3/2022,BLOG,2000,813,305
4200,50,5,9,3/3/2022,SOCIAL MEDIA,1298,238,97
3818,32,5,1,3/3/2022,VIDEO,2204,834,382
3739,49,17,1,3/4/2022,VIDEO,550,183,35
3205,34,7,7,3/4/2022,SOCIAL MEDIA,1165,453,119
71,37,11,14,3/4/2022,VIDEO,4368,1156,459
2837,29,15,2,3/5/2022,BLOG,2417,752,232
2795,18,16,10,3/5/2022,SOCIAL MEDIA,1666,716,224
1803,36,17,8,3/5/2022,SOCIAL MEDIA,5407,2398,271
3635,19,19,14,3/5/2022,SOCIAL MEDIA,2162,925,286
3468,31,20,3,3/6/2022,SOCIAL MEDIA,4769,1811,509
2030,7,1,8,3/6/2022,SOCIAL MEDIA,4036,1459,318
1372,13,17,4,3/6/2022,BLOG,6419,636,143
844,11,16,15,3/7/2022,BLOG,4545,1015,320
1028,39,15,16,3/7/2022,BLOG,3132,955,231
140,11,6,6,3/8/2022,VIDEO,7397,1971,394
507,15,8,13,3/8/2022,BLOG,2226,575,159
2071,48,11,5,3/8/2022,BLOG,7799,893,289
3610,1,5,15,3/8/2022,BLOG,4316,954,293
4301,16,2,10,3/9/2022,SOCIAL MEDIA,6922,3093,899
1801,14,16,12,3/9/2022,SOCIAL MEDIA,8806,3547,739
1096,11,8,7,3/9/2022,SOCIAL MEDIA,7548,3005,585
2194,32,4,2,3/10/2022,VIDEO,6172,2823,941
1922,32,16,13,3/11/2022,VIDEO,9102,2705,362
1683,1,5,11,3/11/2022,BLOG,7735,2945,626
516,7,4,16,3/11/2022,BLOG,4421,503,123
76,48,14,3,3/11/2022,BLOG,6205,2834,545
3822,31,8,14,3/11/2022,BLOG,8249,3138,1136
3019,44,20,3,3/12/2022,SOCIAL MEDIA,4665,2159,586
597,41,11,14,3/12/2022,VIDEO,4890,632,211
2472,23,17,10,3/12/2022,SOCIAL MEDIA,6509,971,205
1831,9,9,5,3/13/2022,VIDEO,3517,1347,402
342,10,4,6,3/13/2022,BLOG,2100,713,199
1428,43,8,17,3/13/2022,VIDEO,5778,1846,506
2975,28,3,20,3/13/2022,SOCIAL MEDIA,8887,3993,866
3324,16,7,19,3/13/2022,BLOG,2466,1079,340
3447,29,9,17,3/13/2022,SOCIAL MEDIA,8328,3666,521
3286,30,12,15,3/14/2022,BLOG,5387,1664,471
1251,27,20,17,3/14/2022,BLOG,4060,476,102
1741,13,15,16,3/14/2022,BLOG,7359,2674,1181
2395,5,2,5,3/15/2022,VIDEO,8891,2377,534
2615,46,3,11,3/15/2022,VIDEO,2437,315,121
219,45,5,20,3/15/2022,SOCIAL MEDIA,2900,1294,376
3615,25,13,8,3/15/2022,BLOG,4746,604,135
4008,36,18,3,3/15/2022,VIDEO,5393,2008,833
4293,14,19,13,3/15/2022,VIDEO,3981,1527,586
4209,19,3,13,3/15/2022,VIDEO,1188,540,161
4261,47,20,3,3/16/2022,SOCIAL MEDIA,7984,3053,1243
4454,11,4,9,3/16/2022,SOCIAL MEDIA,681,87,17
2742,37,6,3,3/16/2022,BLOG,396,137,42
2178,47,14,19,3/16/2022,BLOG,1462,665,244
1280,20,19,17,3/17/2022,VIDEO,777,359,145
4515,48,20,11,3/17/2022,BLOG,6200,2388,887
3497,3,14,16,3/17/2022,SOCIAL MEDIA,7672,3341,597
4079,49,16,12,3/18/2022,BLOG,2346,667,236
3998,8,4,20,3/18/2022,BLOG,6956,2262,215
2797,34,7,16,3/18/2022,BLOG,6567,1130,485
1567,18,14,6,3/19/2022,VIDEO,2313,729,282
3734,39,15,1,3/19/2022,SOCIAL MEDIA,7510,3421,886
4282,35,13,10,3/19/2022,BLOG,5525,2368,998
3782,8,1,2,3/20/2022,VIDEO,5093,938,151
2563,21,13,19,3/20/2022,BLOG,4889,2067,546
